Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Beijing,145766,131700,119928,111390,102268,93006,84742,68174,59427,49722,44961,42328,34692,29992
Tianjin,100731,94534,86305,80090,72773,67773,61514,66928,57367,41973,37444,35101,30378,25586
Hebei,68717,63036,55334,50921,45114,41501,38658,38105,31546,26191,22983,20283,16489,13823
Shanxi,65917,60061,53705,51803,48969,46407,44236,40029,33225,26672,23273,20731,17301,14328
Inner Mongolia Autonomous Region,73835,66679,61067,57135,53748,50723,46557,42297,36324,28760,24834,21197,17855,14977
Liaoning,67324,61153,56015,52332,48190,45505,41858,46519,40910,32597,28719,25913,21328,18364
Jilin,68533,61451,56098,51558,46516,42846,38407,32783,27562,22597,20165,17923,15735,12886
Heilongjiang,60780,56067,52435,48881,44036,40794,36406,37357,31516,26792,24416,21662,19518,16570
Shanghai,140400,129785,119935,109174,100251,90908,78673,63157,54768,39534,36058,32385,27520,22170
Jiangsu,84688,78267,71574,66196,60867,57177,50639,29697,26277,21872,18518,16529,14052,11951
Zhejiang,88883,80750,73326,66668,61572,56571,50197,55057,47009,38121,32680,28340,22985,19182
Anhui,74378,65150,59012,55139,50894,47806,44601,33456,27650,21356,17332,14883,12526,10091
Fujian,74316,67420,61973,57628,53426,48538,44525,41900,34612,25056,20784,18828,15811,13160
Jiangxi,68573,61429,56136,50932,46218,42473,38512,27959,22636,17629,14758,12645,11072,9315
Shandong,73593,68081,62539,57270,51825,46998,41904,41084,35311,28492,24586,21629,18755,15757
Henan,63174,55495,49505,45403,42179,38301,37338,31594,27606,22150,19395,17256,14624,11742
Hubei,73777,65912,59831,54367,49838,43899,39846,35341,31438,24318,19499,15937,13821,12527
Hunan,70221,63690,58241,52357,47117,42726,38971,37251,31886,25282,22148,19182,16014,12652
Guangdong,88636,79183,72326,65788,59481,53318,50278,32078,27979,23184,20273,18466,16401,14209
Guangxi Zhuang Autonomous Region,70606,63821,57878,52982,45424,41391,36386,31378,27543,23844,19262,17271,14673,12118
Hainan,75885,67727,61663,57600,49882,44971,39485,33056,29161,24715,19658,17077,15093,12333
Chongqing,78928,70889,65545,60543,55588,50006,44498,41006,35166,24907,20825,17919,14724,11862
Sichuan,77686,69419,63926,58915,52555,47965,42339,31622,26700,21687,18318,15873,13076,10605
Guizhou,78316,71795,66279,59701,52772,47364,41156,35015,27977,22168,19203,16820,14298,11235
Yunnan,75701,69106,60450,52564,46101,42447,37629,36340,29499,23451,20626,17922,14937,12135
Tibet Autonomous Region,116015,108817,103232,97849,61235,57773,51705,29916,27357,27009,23838,22678,21392,14218
Shaanxi,71983,65181,59637,54994,50535,47446,43073,35181,30248,24179,20701,17429,14278,11193
Gansu,70695,63374,57575,52942,46960,42833,37679,32678,26013,22957,20955,18670,15930,13427
Qinghai,85379,75701,66589,61090,57084,51393,46483,43508,38213,29172,25445,21947,18064,15017
Ningxia Hui Autonomous Region,78384,70298,65570,60380,54858,50476,47436,50365,39094,33936,29725,27122,23842,19545
Xinjiang Uygur Autonomous Region,75457,67932,63739,60117,53471,49064,44576,47246,38677,29797,25503,23240,20135,17062
