Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Beijing,1.3,1.4,1.4,1.4,1.4,1.3,1.2,1.3,1.4,1.4,1.4,1.8,1.8,2
Tianjin,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
Hebei,3.1,3.3,3.7,3.7,3.6,3.6,3.7,3.7,3.8,3.9,3.9,4,3.8,3.8
Shanxi,2.7,3.3,3.4,3.5,3.5,3.4,3.1,3.3,3.5,3.6,3.9,3.3,3.2,3.2
Inner Mongolia Autonomous Region,3.7,3.6,3.6,3.7,3.7,3.6,3.7,3.7,3.8,3.9,4,4.1,4,4.1
Liaoning,4.2,3.9,3.8,3.8,3.4,3.4,3.4,3.6,3.7,3.6,3.9,3.9,4.3,5.1
Jilin,3.1,3.5,3.5,3.5,3.5,3.4,3.7,3.7,3.7,3.8,4,4,3.9,4.2
Heilongjiang,3.5,4,4.2,4.2,4.5,4.5,4.4,4.2,4.1,4.3,4.3,4.2,4.3,4.4
Shanghai,3.6,3.5,3.9,4.1,4,4.1,4,3.1,3.5,4.4,4.3,4.2,4.2,4.4
Jiangsu,3,3,3,3,3,3,3,3.1,3.2,3.2,3.2,3.3,3.2,3.4
Zhejiang,2.5,2.6,2.7,2.9,2.9,3,3,3,3.1,3.2,3.3,3.5,3.3,3.5
Anhui,2.6,2.8,2.9,3.2,3.1,3.2,3.4,3.7,3.7,3.7,3.9,3.9,4.1,4.3
Fujian,3.5,3.7,3.9,3.9,3.7,3.5,3.6,3.6,3.7,3.8,3.9,3.9,3.9,3.9
Jiangxi,2.9,3.4,3.3,3.4,3.4,3.3,3.2,3,3,3.3,3.4,3.4,3.4,3.6
Shandong,3.3,3.4,3.4,3.5,3.4,3.3,3.2,3.3,3.4,3.4,3.4,3.7,3.2,3.3
Henan,3.2,3,2.8,3,3,3,3.1,3.1,3.4,3.4,3.5,3.4,3.4,3.5
Hubei,2.4,2.6,2.6,2.4,2.6,3.1,3.5,3.8,4.1,4.2,4.2,4.2,4.2,4.2
Hunan,2.7,3.6,4,4.2,4.1,4.1,4.2,4.2,4.2,4.2,4.1,4.2,4.3,4.3
Guangdong,2.3,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.5,2.6
Guangxi Zhuang Autonomous Region,2.6,2.3,2.2,2.9,2.9,3.2,3.3,3.4,3.5,3.7,3.7,3.8,3.8,4.2
Hainan,2.3,2.3,2.3,2.4,2.3,2.3,2.2,2,1.7,3,3.5,3.7,3.5,3.6
Chongqing,2.6,3,3.4,3.7,3.6,3.5,3.4,3.3,3.5,3.9,4,4,4,4
Sichuan,3.3,3.5,4,4.2,4.1,4.2,4.1,4,4.2,4.1,4.3,4.6,4.2,4.5
Guizhou,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.6,3.6,3.8,4,4,4.1
Yunnan,3.3,3.4,3.2,3.6,4,4,4,4,4.1,4.2,4.3,4.2,4.2,4.3
Tibet Autonomous Region,2.9,2.8,2.7,2.6,2.5,2.5,2.5,2.6,3.2,4,3.8,4,4,4
Shaanxi,3.2,3.2,3.3,3.3,3.4,3.3,3.3,3.2,3.6,3.9,3.9,3.9,4,4
Gansu,3,2.8,2.7,2.2,2.1,2.2,2.3,2.7,3.1,3.2,3.3,3.2,3.3,3.6
Qinghai,2.2,3,3.1,3.1,3.2,3.2,3.3,3.4,3.8,3.8,3.8,3.8,3.8,3.9
Ningxia Hui Autonomous Region,3.7,3.9,3.9,3.9,4,4,4.1,4.2,4.4,4.4,4.4,4.4,4.3,4.3
Xinjiang Uygur Autonomous Region,2.1,2.4,2.6,2.5,2.9,3.2,3.4,3.4,3.2,3.2,3.8,3.7,3.9,3.9
