Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Beijing,102.3,102.5,101.9,101.4,101.8,101.6,103.3,103.3,105.6,102.4,98.5,105.1,102.4,100.9,101.5
Tianjin,102.7,102,102.1,102.1,101.7,101.9,103.1,102.7,104.9,103.5,99,105.4,104.2,101.5,101.5
Hebei,103,102.4,101.7,101.5,100.9,101.7,103,102.6,105.7,103.1,99.3,106.2,104.7,101.7,101.8
Shanxi,102.7,101.8,101.1,101.1,100.6,101.7,103.1,102.5,105.2,103,99.6,107.2,104.6,102,102.3
Inner Mongolia Autonomous Region,102.4,101.8,101.7,101.2,101.1,101.6,103.2,103.1,105.6,103.2,99.7,105.7,104.6,101.5,102.4
Liaoning,102.4,102.5,101.4,101.6,101.4,101.7,102.4,102.8,105.2,103,100,104.6,105.1,101.2,101.4
Jilin,103,102.1,101.6,101.6,101.7,102,102.9,102.5,105.2,103.7,100.1,105.1,105.3,101.4,101.5
Heilongjiang,102.8,102,101.3,101.5,101.1,101.5,102.2,103.2,105.8,103.9,100.2,105.6,105.2,101.9,101.2
Shanghai,102.5,101.6,101.7,103.2,102.4,102.7,102.3,102.8,105.2,103.1,99.6,105.8,103.2,101.2,101
Jiangsu,103.1,102.3,101.7,102.3,101.7,102.2,102.3,102.6,105.3,103.8,99.6,105.4,104.3,101.6,102.1
Zhejiang,102.9,102.3,102.1,101.9,101.4,102.1,102.3,102.2,105.4,103.8,98.5,105,104.2,101.1,101.3
Anhui,102.7,102,101.2,101.8,101.3,101.6,102.4,102.3,105.6,103.1,99.1,106.2,105.3,101.2,101.4
Fujian,102.6,101.5,101.2,101.7,101.7,102,102.5,102.4,105.3,103.2,98.2,104.6,105.2,100.8,102.2
Jiangxi,102.9,102.1,102,102,101.5,102.3,102.5,102.7,105.2,103,99.3,106,104.8,101.2,101.7
Shandong,103.2,102.5,101.5,102.1,101.2,101.9,102.2,102.1,105,102.9,100,105.3,104.4,101,101.7
Henan,103,102.3,101.4,101.9,101.3,101.9,102.9,102.5,105.6,103.5,99.4,107,105.4,101.3,102.1
Hubei,103.1,101.9,101.5,102.2,101.5,102,102.8,102.9,105.8,102.9,99.6,106.3,104.8,101.6,102.9
Hunan,102.9,102,101.4,101.9,101.4,101.9,102.5,102,105.5,103.1,99.6,106,105.6,101.4,102.3
Guangdong,103.4,102.2,101.5,102.3,101.5,102.3,102.5,102.8,105.3,103.1,97.7,105.6,103.7,101.8,102.3
Guangxi Zhuang Autonomous Region,103.7,102.3,101.6,101.6,101.5,102.1,102.2,103.2,105.9,103,97.9,107.8,106.1,101.3,102.4
Hainan,103.4,102.5,102.8,102.8,101,102.4,102.8,103.2,106.1,104.8,99.3,106.9,105.1,101.5,101.5
Chongqing,102.7,102,101,101.8,101.3,101.8,102.7,102.6,105.3,103.2,98.4,105.6,104.7,102.4,100.8
Sichuan,103.2,101.7,101.4,101.9,101.5,101.6,102.8,102.5,105.3,103.2,100.8,105.1,105.9,102.3,101.7
Guizhou,102.4,101.8,100.9,101.4,101.8,102.4,102.5,102.7,105.1,102.9,98.7,107.6,106.4,101.7,101
Yunnan,102.5,101.6,100.9,101.5,101.9,102.4,103.1,102.7,104.9,103.7,100.4,105.7,105.9,101.9,101.4
Tibet Autonomous Region,102.3,101.7,101.6,102.5,102,102.9,103.6,103.5,105,102.2,101.4,105.7,103.4,102,101.5
Shaanxi,102.9,102.1,101.6,101.3,101,101.6,103,102.8,105.7,104,100.5,106.4,105.2,101.5,101.2
Gansu,102.3,102,101.4,101.3,101.6,102.1,103.2,102.7,105.9,104.1,101.3,108.2,105.2,101.3,101.7
Qinghai,102.5,102.5,101.5,101.8,102.6,102.8,103.9,103.1,106.1,105.4,102.6,110.1,106.7,101.6,100.8
Ningxia Hui Autonomous Region,102.1,102.3,101.6,101.5,101.1,101.9,103.4,102,106.3,104.1,100.7,108.5,105.5,101.9,101.5
Xinjiang Uygur Autonomous Region,101.9,102,102.2,101.4,100.6,102.1,103.9,103.8,105.9,104.3,100.7,108.1,105.5,101.3,100.7
